POS,NAME,TEAM,RATING,CAREER BEST RATING,DATE
1,Trent Boult,NZ,737,"770 v West Indies, 22/06/2019",2018-07-10
2,Josh Hazlewood,AUS,709,"733 v England, 26/01/2018",2018-07-10
3,Mujeeb Ur Rahman,AFG,708,"712 v Ireland, 24/01/2021",2018-07-10
4,Chris Woakes,ENG,700,"711 v Sri Lanka, 04/07/2021",2018-07-10
5,Mehedi Hasan,BAN,692,"725 v Sri Lanka, 25/05/2021",2018-07-10
6,Matt Henry,NZ,691,"691 v Bangladesh, 26/03/2021",2018-07-10
7,Jasprit Bumrah,IND,679,"841 v West Indies, 01/11/2018",2018-07-10
8,Mitchell Starc,AUS,652,"783 v New Zealand, 29/03/2015",2018-07-10
9,Shakib Al Hasan,BAN,650,"717 v Zimbabwe, 05/11/2009",2018-07-10
10,Kagiso Rabada,SA,643,"724 v England, 29/05/2017",2018-07-10
11,Mustafizur Rahman,BAN,640,"695 v West Indies, 14/12/2018",2018-07-10
12,Pat Cummins,AUS,636,"729 v Pakistan, 12/06/2019",2018-07-10
13,Shaheen Afridi,PAK,630,"637 v England, 10/07/2021",2018-07-10
14,Mohammad Amir,PAK,628,"663 v Sri Lanka, 02/10/2019",2018-07-10
15,Rashid Khan,AFG,626,"806 v Pakistan, 21/09/2018",2018-07-10
16,Adam Zampa,AUS,625,"625 v West Indies, 26/07/2021",2018-07-10
17,Bhuvneshwar Kumar,IND,621,"657 v West Indies, 17/10/2014",2018-07-10
18,Lachlan Ferguson,NZ,619,"668 v West Indies, 22/06/2019",2018-07-10
19,Jofra Archer,ENG,609,"642 v Australia, 13/09/2020",2018-07-10
20,Yuzvendra Chahal,IND,603,"730 v New Zealand, 23/01/2019",2018-07-10
21,Mohammad Nabi,AFG,596,"653 v Zimbabwe, 26/02/2017",2018-07-10
22,Mark Wood,ENG,594,"615 v Afghanistan, 18/06/2019",2018-07-10
23,Alzarri Joseph,WI,592,"594 v Australia, 22/07/2021",2018-07-10
24,Lungi Ngidi,SA,587,"621 v Australia, 04/03/2020",2018-07-10
25,Mitchell Santner,NZ,583,"663 v England, 25/02/2018",2018-07-10
26,Akila Dananjaya,SL,583,"651 v England, 23/10/2018",2018-07-10
27,Andy McBrine,IRE,579,"579 v Zimbabwe, 13/09/2021",2018-07-10
28,Mohammad Shami,IND,566,"654 v Bangladesh, 19/03/2015",2018-07-10
29,Kuldeep Yadav,IND,562,"765 v New Zealand, 26/01/2019",2018-07-10
30,Ravindra Jadeja,IND,550,"738 v Zimbabwe, 01/08/2013",2018-07-10
31,Tabraiz Shamsi,SA,546,"562 v Sri Lanka, 07/09/2021",2018-07-10
32,Sheldon Cottrell,WI,541,"581 v Sri Lanka, 26/02/2020",2018-07-10
33,Wanindu Hasaranga,SL,531,"531 v South Africa, 07/09/2021",2018-07-10
34,Ahmed Raza,UAE,531,"531 v Ireland, 18/01/2021",2018-07-10
35,Dushmantha Chameera,SL,525,"538 v England, 29/06/2021",2018-07-10
36,Mark Watt,SCO,519,"529 v Papua New Guinea, 29/09/2021",2018-07-10
37,Shadab Khan,PAK,517,"607 v South Africa, 22/01/2019",2018-07-10
38,Colin de Grandhomme,NZ,508,"522 v India, 11/02/2020",2018-07-10
39,Simi Singh,IRE,507,"507 v Zimbabwe, 13/09/2021",2018-07-10
40,David Willey,ENG,501,"551 v Sri Lanka, 02/07/2016",2018-07-10
41,Tim Southee,NZ,500,"638 v England, 20/02/2015",2018-07-10
42,Adil Rashid,ENG,497,"687 v Sri Lanka, 20/10/2018",2018-07-10
43,Ish Sodhi,,496,,2018-07-10
44,Imad Wasim,PAK,488,"570 v England, 19/05/2019",2018-07-10
45,Hasan Ali,PAK,483,"766 v New Zealand, 06/01/2018",2018-07-10
46,Usman Khan,PAK,482,"504 v Sri Lanka, 02/10/2019",2018-07-10
47,Jhye Richardson,AUS,480,"548 v Pakistan, 24/03/2019",2018-07-10
48,Rohan Mustafa,UAE,477,"477 v Ireland, 18/01/2021",2018-07-10
49,Keshav Maharaj,SA,476,"494 v Sri Lanka, 07/09/2021",2018-07-10
50,Blessing Muzarabani,ZIM,470,"470 v Ireland, 13/09/2021",2018-07-10
51,Mashrafe Mortaza,BAN,469,"653 v Zimbabwe, 23/01/2009",2018-07-10
52,Mohammad Mohammad Saifuddin,BAN,468,"496 v West Indies, 25/01/2021",2018-07-10
53,Zeeshan Maqsood,OMA,465,"465 v Namibia, 27/11/2021",2018-07-10
54,Joshua Little,IRE,463,"463 v Zimbabwe, 13/09/2021",2018-07-10
55,Jimmy Neesham,NZ,458,"458 v Bangladesh, 26/03/2021",2018-07-10
56,Tendai Chatara,ZIM,458,"562 v Ireland, 07/03/2015",2018-07-10
57,Andile Phehlukwayo,SA,456,"613 v Pakistan, 30/01/2019",2018-07-10
58,Saqib Mahmood,ENG,454,"454 v Pakistan, 13/07/2021",2018-07-10
59,Nuwan Pradeep,SL,453,"506 v England, 13/10/2018",2018-07-10
60,Jason Holder,WI,451,"486 v Sri Lanka, 10/03/2021",2018-07-10
